,Unnamed: 0,iata_code,name,coordinates,iso_region,average_wait,max_wait,min_wait,obs_count
786,26939,GNV,Gainesville Regional Airport,"-82.2717971802, 29.6900997162",US-FL,na,na,na,0
787,26940,GOK,Guthrie-Edmond Regional Airport,"-97.41560364, 35.84980011",US-OK,na,na,na,na
788,26941,GON,Groton New London Airport,"-72.04509735107422, 41.330101013183594",US-CT,na,na,na,0
789,26946,FCA,Glacier Park International Airport,"-114.25599670410156, 48.31050109863281",US-MT,na,na,na,0
790,26948,GPT,Gulfport Biloxi International Airport,"-89.07009887695312, 30.40730094909668",US-MS,1,1,1,1
791,26949,GPZ,Grand Rapids Itasca Co-Gordon Newstrom field,"-93.50980377, 47.21110153",US-MN,na,na,na,na
792,26950,GQQ,Galion Municipal Airport,"-82.7238006592, 40.7533988953",US-OH,na,na,na,na
793,26951,GRB,Austin Straubel International Airport,"-88.12960052490234, 44.48509979248047",US-WI,1,1,1,1
794,26952,GRD,Greenwood County Airport,"-82.15910339359999, 34.2486991882",US-SC,na,na,na,na
795,26953,GRE,Greenville Airport,"-89.37840271, 38.8362007141",US-IL,na,na,na,na
796,26954,GRF,Gray Army Air Field,"-122.5810013, 47.07920074",US-WA,na,na,na,na
797,26955,GRI,Central Nebraska Regional Airport,"-98.30960083007812, 40.967498779296875",US-NE,1,1,1,1
